title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
Reality (2013),N/A,N/A,"$79,500",Oscilloscope Pictures,"March 15, 2013",Foreign,1 hrs. 56 min.,R,N/A,"$2,234,915",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rear Window (Re-issue),N/A,N/A,"$2,638,000",USA Films,"January 21, 2000",Thriller,1 hrs. 55 min.,PG,N/A,"$36,888,916",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rear Window (Re-issue) (1983),N/A,N/A,"$26,042,000",Universal,"September 30, 1983",Thriller,1 hrs. 55 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rec 3: Genesis,N/A,N/A,"$11,100",Magnolia,"September 7, 2012",Foreign / Horror,1 hrs. 20 min.,R,N/A,"$10,158,047",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REC 4: Apocalypse,N/A,N/A,$900,Magnolia,"January 2, 2015",Foreign / Horror,1 hrs. 36 min.,R,N/A,$837,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Red (1994),N/A,N/A,"$7,738,100",Miramax,"December 1, 1994",Foreign,1 hrs. 39 min.,R,N/A,N/A,Julie Delpy*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Red (2008),N/A,N/A,"$5,800",Magnolia,"August 8, 2008",Drama / Thriller,1 hrs. 38 min.,R,N/A,"$10,731",Brian Cox,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Red Balloon / White Mane (re-issue),N/A,N/A,"$90,700",Janus Films,"November 16, 2007",Foreign,1 hrs. 14 min.,Unrated,N/A,"$69,139",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Red Betsy,N/A,N/A,"$246,400",Lang Films,"September 19, 2003",Unknown,1 hrs. 38 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Red Dawn (1984),N/A,N/A,"$103,136,800",MGM,"August 10, 1984",Action,1 hrs. 54 min.,PG-13,N/A,N/A,Patrick Swayze,Charlie Sheen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kevin Reynolds,N/A,N/A,N/A
Red Dawn (2012),Dan Bradley,N/A,"$50,289,600",FilmDistrict,"November 21, 2012",Action,1 hrs. 33 min.,PG-13,$65 million,"$44,806,783",Josh Hutcherson,Chris Hemsworth,Adrianne Palicki,Jeffrey Dean Morgan,N/A,N/A,Beau Flynn,Tripp Vinson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Red Lights (2012),Rodrigo Cortes,N/A,"$58,500",Millennium Ent.,"July 13, 2012",Thriller,1 hrs. 53 min.,R,N/A,"$13,551,174",Robert DeNiro,Cillian Murphy,Elizabeth Olsen,Sigourney Weaver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rodrigo Cortes,N/A,N/A,N/A
Red Riding Trilogy,N/A,N/A,"$172,700",IFC,"February 5, 2010",Crime Thriller,5 hrs. 7 min.,Unrated,$9 million,N/A,Rebecca Hall,Andrew Garfield,Sean Bean,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Redemption (2013),Steven Knight,N/A,"$42,500",Roadside Attractions,"June 28, 2013",Action Thriller,1 hrs. 40 min.,R,N/A,"$36,895",Jason Statham,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Steven Knight,N/A,Dario Marianelli,N/A
Rediscover Sautet,N/A,N/A,"$26,300",Rialto,"June 12, 2015",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Redwood Highway,N/A,N/A,"$146,300","Monterey Media, Inc.","April 11, 2014",Drama,1 hrs. 30 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Remember (Canada Release),Atom Egoyan,N/A,"$568,400",Entertainment One,"October 16, 2015",Drama / Thriller,1 hrs. 35 min.,R,N/A,"$3,692,491",Dean Norris,Christopher Plummer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Remember (US Release),Atom Egoyan,N/A,"$664,000",A24,"March 11, 2016",Drama / Thriller,1 hrs. 35 min.,R,N/A,"$1,184,564",Dean Norris,Christopher Plummer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rendezvous in July (2018 re-release),N/A,N/A,"$11,600",Rialto,"August 1, 2018",Comedy / Drama,1 hrs. 40 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Repo: The Genetic Opera,Darren Lynn Bousman,N/A,"$184,600",Lionsgate,"November 7, 2008",Musical,1 hrs. 37 min.,R,N/A,"$188,126",Michael Rooker,Alexa Vega,N/A,N/A,N/A,N/A,Darren Lynn Bousman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Requiem for the American Dream,N/A,N/A,"$136,300",The Film Collaborative,"January 29, 2016",Documentary,1 hrs. 13 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Rescuers (Re-issue),N/A,N/A,"$58,083,800",Buena Vista,"December 16, 1983",Animation,1 hrs. 16 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Rescuers (Re-issue) (1989),N/A,N/A,"$48,256,800",Buena Vista,"March 17, 1989",Animation,1 hrs. 16 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reset (Ni Shi Ying Jiu),N/A,N/A,"$110,200",Well Go USA,"June 30, 2017",Action,1 hrs. 46 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jackie Chan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Restless (2011),Gus Van Sant,N/A,"$187,500",Sony Classics,"September 16, 2011",Drama,1 hrs. 31 min.,PG-13,$8 million,"$163,265",Mia Wasikowska,N/A,N/A,N/A,N/A,N/A,Ron Howard,Gus Van Sant,N/A,N/A,N/A,N/A,N/A,N/A,Danny Elfman,N/A
Restored Me (Masters Media),N/A,N/A,"$3,600",Masters Media,"September 9, 2016",Drama,2 hrs. 15 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Restoring Tomorrow (Event),N/A,N/A,"$28,600",Fathom,"November 13, 2018",Documentary,1 hrs. 42 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Resurrection of Gavin Stone ,N/A,N/A,"$2,353,300",BH Tilt,"January 20, 2017",Comedy,1 hrs. 31 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Return (2012),N/A,N/A,"$18,400",Dada Films,"February 10, 2012",Drama,1 hrs. 37 min.,Unrated,N/A,"$16,124",Michael Shannon,John Slattery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Return of the Jedi (Re-issue),N/A,N/A,"$28,621,600",Fox,"March 29, 1985",Sci-Fi Fantasy,2 hrs. 14 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Return of the Jedi (Special Edition),N/A,N/A,"$89,454,900",Fox,"March 14, 1997",Sci-Fi Fantasy,2 hrs. 15 min.,PG,N/A,"$353,096,720",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Return of the Living Dead,N/A,N/A,"$36,216,400",Orion Pictures,"August 16, 1985",Horror Comedy,1 hrs. 54 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Return of the Living Dead 2,N/A,N/A,"$20,226,200",Lorimar,"January 15, 1988",Unknown,1 hrs. 29 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Return of the Living Dead III,N/A,N/A,"$118,200",Trimark,"October 29, 1993",Unknown,1 hrs. 36 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Return of the Pink Panther,N/A,N/A,"$184,270,800",United Artists,"May 21, 1975",Comedy,1 hrs. 53 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Return of the Swamp Thing,N/A,N/A,"$438,600",Millimeter,"May 12, 1989",Unknown,1 hrs. 28 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Return of the Texas Chainsaw Massacre,N/A,N/A,"$91,900",Lions Gate,"September 22, 1995",Horror,1 hrs. 35 min.,R,N/A,N/A,Matthew McConaughey,Renee Zellweger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Return with Honor - A Missionary Homecoming,N/A,N/A,"$136,000",Excel,"September 14, 2007",Fantasy Drama,1 hrs. 45 min.,PG,"$300,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revelation Road 2,N/A,N/A,"$5,600",Freestyle Releasing,"July 12, 2013",Action,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenge (2018),N/A,N/A,"$98,300",Neon,"May 11, 2018",Thriller,1 hrs. 48 min.,R,N/A,"$102,091",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhyme &amp; Reason,N/A,N/A,"$3,164,000",Miramax,"March 7, 1997",Documentary,1 hrs. 31 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Richie Rich,N/A,N/A,"$80,092,200",Warner Bros.,"December 21, 1994",Family Comedy,1 hrs. 34 min.,PG,$40 million,N/A,Macaulay Culkin,Rory Culkin*,N/A,N/A,N/A,N/A,John Davis,Joel Silver,N/A,N/A,N/A,N/A,N/A,N/A,Alan Silvestri,N/A
Ricki and the Flash,Jonathan Demme,N/A,"$29,352,300",TriStar,"August 7, 2015",Comedy / Drama,1 hrs. 41 min.,PG-13,$18 million,"$41,325,328",Meryl Streep,Kevin Kline,Sebastian Stan,N/A,N/A,N/A,Mason Novick,Marc Platt,N/A,N/A,N/A,N/A,Diablo Cody,N/A,N/A,N/A
RiffTrax Live: Krull,N/A,N/A,"$406,200",Fathom,"August 23, 2018",Comedy,1 hrs. 56 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rifftrax: Samurai Cop,N/A,N/A,"$388,200",Fathom,"April 13, 2017",Comedy,2 hrs. 0 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rififi (2015 re-release),N/A,N/A,"$62,400",Rialto,"September 2, 2015",Crime Drama,1 hrs. 58 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rififi (re-issue),N/A,N/A,"$771,000",Rialto,"July 21, 2000",Foreign,1 hrs. 58 min.,Unrated,N/A,"$460,226",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Riot Club,Lone Scherfig,N/A,"$8,100",IFC,"March 27, 2015",Drama / Thriller,1 hrs. 47 min.,R,N/A,"$2,147,734",Max Irons,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The RM,N/A,N/A,"$1,664,700",Halestorm,"January 31, 2003",Comedy,1 hrs. 41 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Road (2012),N/A,N/A,"$102,800",Freestyle Releasing,"May 11, 2012",Foreign / Horror,1 hrs. 50 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Road to Ninja - Naruto the Movie,N/A,N/A,"$48,200",Eleven Arts,"August 29, 2014",Animation,1 hrs. 49 min.,Unrated,N/A,"$17,322,136",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Road Warrior,George Miller,N/A,"$72,694,300",Warner Bros.,"May 21, 1982",Sci-Fi Action,1 hrs. 36 min.,R,N/A,N/A,Mel Gibson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,George Miller,N/A,N/A,N/A
Roadie (2012),Michael Cuesta,N/A,"$9,000",Magnolia,"January 6, 2012",Drama,1 hrs. 36 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Michael Cuesta,N/A,N/A,N/A
Roar!,N/A,N/A,"$116,200",Drafthouse,"April 15, 2015",Drama,1 hrs. 42 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robin Hood (2018),N/A,N/A,"$30,824,600",Lionsgate/Summit,"November 21, 2018",Action / Adventure,1 hrs. 44 min.,PG-13,$100 million,"$84,771,710",Ben Mendelsohn,Taron Egerton,Jamie Foxx,N/A,N/A,N/A,Leonardo DiCaprio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RoboCop (2014),Jose Padilha,N/A,"$66,413,300",Sony / Columbia,"February 12, 2014",Sci-Fi Action,1 hrs. 48 min.,PG-13,$100 million,"$242,688,965",Michael K. Williams,Gary Oldman,Michael Keaton,Abbie Cornish,Jackie Earle Haley,Jay Baruchel,Marc Abraham,Roger Birnbaum,Brad Fischer,Eric Newman,N/A,N/A,Joshua Zetumer,N/A,N/A,N/A
Robot &amp; Frank,Jake Schreier,N/A,"$3,845,600",Samuel Goldwyn,"August 17, 2012",Sci-Fi Comedy,1 hrs. 30 min.,PG-13,N/A,"$3,325,038",Frank Langella,James Marsden,Liv Tyler,Susan Sarandon,Peter Sarsgaard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rock and Rule,N/A,N/A,"$87,100",MGM,"April 15, 1983",Unknown,1 hrs. 17 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Rocket (2014),N/A,N/A,"$64,200",Kino Lorber,"January 10, 2014",Foreign,1 hrs. 36 min.,Unrated,N/A,"$56,823",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rocket Man,N/A,N/A,"$30,391,300",Buena Vista,"October 10, 1997",Sci-Fi Comedy,1 hrs. 34 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roger Birnbaum,Jonathan Glickman,N/A,N/A,N/A,N/A,Craig Mazin,N/A,N/A,N/A
Rocket Singh - Salesman of the Year,N/A,N/A,N/A,Yash Raj,"December 11, 2009",Comedy,2 hrs. 36 min.,Unrated,N/A,"$197,650",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rockstar (2011),N/A,N/A,"$1,137,900",Eros,"November 11, 2011",Foreign,N/A,Unrated,N/A,"$986,697",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rocky III (Re-issue),N/A,N/A,"$2,586,400",MGM,"May 6, 1983",Unknown,1 hrs. 40 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roger and Me,Michael Moore,N/A,"$14,340,200",Warner Bros.,"December 22, 1989",Documentary,1 hrs. 31 min.,R,"$160,000","$7,706,368",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roman de Gare,N/A,N/A,"$2,330,100",Samuel Goldwyn,"April 25, 2008",Foreign,1 hrs. 43 min.,R,N/A,"$4,841,132",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Romance and Cigarettes,N/A,N/A,"$721,800",Borotoro,"September 7, 2007",Musical,1 hrs. 55 min.,R,N/A,"$2,935,242",James Gandolfini,Susan Sarandon,Kate Winslet,Mandy Moore,Christopher Walken,N/A,Ethan Coen,Joel Coen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Romantico,N/A,N/A,"$39,200",Kino,"November 1, 2006",Documentary,1 hrs. 20 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rome &amp; Jewel,N/A,N/A,$600,Emerging Pictures,"November 28, 2008",Drama,1 hrs. 31 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Romeo &amp; Juliet: Sealed with a Kiss,N/A,N/A,"$619,200",Indican,"October 27, 2006",Animation,1 hrs. 32 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Romeo and Juliet (2013),N/A,N/A,"$1,257,300",Relativity,"October 11, 2013",Romance,1 hrs. 42 min.,PG-13,N/A,"$1,162,635",Hailee Steinfeld,Paul Giamatti,Stellan Skarsgard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Julian Fellowes,N/A,N/A,N/A
Romeo et Juliette,N/A,N/A,"$1,819,900",Alliance,"December 15, 2006",Foreign,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Romy &amp; Michele's High School Reunion,N/A,N/A,"$57,515,300",Buena Vista,"April 25, 1997",Comedy,1 hrs. 32 min.,R,N/A,"$29,235,353",Mira Sorvino,Lisa Kudrow,N/A,N/A,N/A,N/A,Laurence Mark,N/A,N/A,N/A,N/A,N/A,N/A,N/A,James Newton Howard,N/A
The Rookie (1990),Clint Eastwood,N/A,"$46,244,400",Warner Bros.,"December 7, 1990",Action Comedy,2 hrs. 1 min.,R,N/A,N/A,Clint Eastwood,Charlie Sheen,N/A,N/A,N/A,N/A,David Valdes,N/A,N/A,N/A,N/A,N/A,Boaz Yakin,N/A,N/A,N/A
Rory O'Shea Was Here,N/A,N/A,"$33,600",Focus Features,"February 4, 2005",Comedy / Drama,1 hrs. 44 min.,R,N/A,N/A,Romola Garai,James McAvoy,N/A,N/A,N/A,N/A,Tim Bevan,Eric Fellner,N/A,N/A,N/A,N/A,Jeffrey Caine,N/A,David Julyan,N/A
Roseanne for President!,N/A,N/A,"$8,400",IFC,"July 1, 2016",Documentary,1 hrs. 36 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rosencrantz &amp; Guildenstern Are Undead,N/A,N/A,"$82,200",Indican,"June 4, 2010",Action,1 hrs. 25 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rosencrantz and Guildenstern Are Dead,N/A,N/A,"$1,585,300",Cinecom,"February 8, 1991",Period Comedy,1 hrs. 57 min.,PG,N/A,N/A,Gary Oldman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
'Round Midnight,N/A,N/A,"$7,965,400",Warner Bros.,"October 3, 1986",Unknown,2 hrs. 13 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Irwin Winkler,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roving Mars (IMAX),N/A,N/A,"$13,863,000",Buena Vista,"January 27, 2006",IMAX,0 hrs. 40 min.,G,N/A,"$10,978,976",N/A,N/A,N/A,N/A,N/A,N/A,Frank Marshall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philip Glass,N/A
Rubin &amp; Ed,N/A,N/A,"$34,100",IRS Media,"May 15, 1992",Unknown,1 hrs. 22 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rudo Y Cursi,N/A,N/A,"$2,212,300",Sony Classics,"May 8, 2009",Foreign,1 hrs. 30 min.,R,N/A,"$11,169,232",Gael Garcia Bernal,Diego Luna,N/A,N/A,N/A,N/A,Guillermo del Toro,Alejandro González Iñárritu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rudy (25th Anniversary),N/A,N/A,"$134,200",Fathom,"August 28, 2018",Sports Drama,1 hrs. 54 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Rules of the Game (re-issue),N/A,N/A,"$359,300",Janus Films,"October 27, 2006",Foreign,1 hrs. 50 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumor Has It,Rob Reiner,N/A,"$59,735,200",Warner Bros.,"December 25, 2005",Romantic Comedy,1 hrs. 36 min.,PG-13,N/A,"$88,933,562",Mike Vogel,Jennifer Aniston,Kevin Costner,Mark Ruffalo,Kathy Bates*,N/A,Jennifer Fox,Steven Soderbergh,N/A,N/A,N/A,N/A,Ted Griffin,N/A,Marc Shaiman,N/A
Run and Jump,N/A,N/A,"$22,800",IFC,"January 24, 2014",Drama,1 hrs. 46 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Run Fat Boy Run,David Schwimmer,N/A,"$7,550,100",Picturehouse,"March 28, 2008",Comedy,1 hrs. 40 min.,PG-13,$10 million,"$33,463,522",Simon Pegg,Thandie Newton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alex Wurman,N/A
Running Man (2015),N/A,N/A,"$345,800",China Lion,"January 30, 2015",Foreign,1 hrs. 28 min.,Unrated,N/A,"$310,978",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rurouni Kenshin: Origins,N/A,N/A,"$34,400",FUNimation Films,"August 8, 2016",Action Drama,2 hrs. 14 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rush (2013),Ron Howard,N/A,"$29,160,500",Universal,"September 20, 2013",Action Drama,2 hrs. 3 min.,R,$38 million,"$90,247,624",Chris Hemsworth,Olivia Wilde,N/A,N/A,N/A,N/A,Eric Fellner,Brian Grazer,Ron Howard,N/A,N/A,N/A,Peter Morgan,N/A,Hans Zimmer,N/A
Russ Taff: I Still Believe,N/A,N/A,"$335,000",Fathom,"October 30, 2018",Unknown,1 hrs. 50 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Russian Ark (2013 re-release),N/A,N/A,"$42,500",Kino Lorber,"September 6, 2013",Foreign,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Russian Ark (Canada),N/A,N/A,"$1,024,300",Seville,"February 22, 2003",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rustler's Rhapsody,N/A,N/A,"$15,492,200",Paramount,"May 10, 1985",Western,1 hrs. 28 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,David Giler,Walter Hill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RWBY Volume 6 Premiere,N/A,N/A,"$238,400",Fathom,"October 25, 2018",Animation,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S21: The Khmer Rouge Killing Machine,N/A,N/A,"$32,900",First Run,"May 19, 2004",Unknown,1 hrs. 41 min.,Unrated,N/A,"$23,078",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saala Khadoos,N/A,N/A,"$81,000",UTV Communications,"January 29, 2016",Sports Drama,1 hrs. 50 min.,Unrated,N/A,"$76,931",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sabotage (2014),David Ayer,N/A,"$11,391,600",Open Road Films,"March 28, 2014",Action Thriller,1 hrs. 49 min.,R,N/A,"$17,508,518",Arnold Schwarzenegger,Sam Worthington,Terrence Howard,Mireille Enos,N/A,N/A,David Ayer,Joe Roth,Skip Woods,N/A,N/A,N/A,David Ayer,Skip Woods,David Sardy,N/A
