title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
21 and Over,Jon Lucas,Scott Moore,"$29,146,400",Relativity,"March 1, 2013",Comedy,1 hrs. 33 min.,R,$13 million,"$48,065,672",Miles Teller,N/A,N/A,N/A,N/A,N/A,David Hoberman,Ryan Kavanaugh,Jon Lucas,Scott Moore,Tucker Tooley,N/A,Jon Lucas,Scott Moore,Lyle Workman,N/A
The 22nd Tournee of Animation,N/A,N/A,"$1,640,100",EXP Ent.,"March 30, 1990",Animation,1 hrs. 55 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 23rd Tournee of Animation,N/A,N/A,"$1,849,600",EXP Ent.,"August 23, 1991",Animation,1 hrs. 35 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 24-Hour Woman,N/A,N/A,"$194,700",Artisan,"January 29, 1999",Unknown,1 hrs. 45 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 24th Tournee of Animation,N/A,N/A,"$2,209,300",EXP Ent.,"September 17, 1993",Animation,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 2nd Animation Celebration,N/A,N/A,"$3,383,600",EXP Ent.,"July 27, 1989",Animation,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3 (2011),N/A,N/A,"$68,700",Strand,"September 16, 2011",Drama,1 hrs. 59 min.,Unrated,N/A,"$2,611,555",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"3 1/2 Minutes, 10 Bullets",N/A,N/A,"$33,300",Participant Media,"June 19, 2015",Documentary,1 hrs. 38 min.,R,N/A,"$30,407",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3 Nights in the Desert,N/A,N/A,"$1,400","Monterey Media, Inc.","February 6, 2015",Drama,1 hrs. 30 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 3 Rooms of Melancholia,N/A,N/A,"$27,200",Icarus Films,"July 29, 2005",Documentary,1 hrs. 44 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30 Years of Garbage: The Garbage Pail Kids Story,N/A,N/A,"$27,800",Indican,"August 11, 2017",Documentary,1 hrs. 54 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
