budget,action,adventure,fantasy,science fiction,comedy,crime,drama,mystery,thriller,romance,war,horror,animation,family,western,history,music,tv movie,documentary,foreign,id,popularity,production_companies,production_countries,weekday,day,month,year,revenue,runtime,title,vote_average,vote_count,weighted_rating
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,333344,2.758,1,1,5,04,9,2015,0,93,Dirty Weekend,5.2,35,6.997483523067705
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,357096,9.097,1,1,5,09,10,2015,0,91,I Spit on Your Grave III: Vengeance is Mine,5.3,363,6.975669282024997
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,309299,5.258,2,1,5,16,10,2015,0,97,Experimenter,6.6,256,6.995945517896737
12000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,333596,4.63,1,1,4,15,10,2015,14394097,123,Woodlawn,7,73,7.0
2000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,361042,3.166,1,1,6,24,10,2015,0,90,The Hollow,4.5,47,6.995308819419492
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,353686,5.583,2,1,5,28,8,2015,0,80,Visions,5.2,211,6.984935147356312
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,318954,3.139,1,1,1,06,4,2015,1236094,103,Beyond the Mask,5.4,45,6.997125174685567
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,289191,2.817,1,2,2,30,9,2014,0,97,I Am Here,5.4,36,6.997699312989296
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,324333,3.767,1,1,5,05,6,2015,0,100,Wild Horses,4.6,42,6.99597476239917
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,252164,5.871,3,1,4,04,6,2015,0,91,Pressure,5.6,114,6.993644978896233
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,360784,6.164,2,1,2,15,9,2015,0,83,Hidden,6.5,303,6.9940125676797225
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,336313,5.428,2,1,5,02,10,2015,157768,86,Hell & Back,5.2,112,6.991971965594138
21000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240483,6.842,6,1,4,29,1,2015,0,90,Robot Overlords,4.8,153,6.986617898461416
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321494,5.432,4,1,2,10,3,2015,0,90,The Man with the Iron Fists 2,4.9,87,6.992717343644118
